,artist,lyrics,song,weeks
10,Jay Z Kanye West," [Verse:Edisto] SKR let me define it South Kak Rebel still remain defient Underrated but ill still fluxuate the climate Talkin north pole cole zip up ya hyvent Can you even register half the stuff that I vent Just then to ascend like advent raising Bringing evil to your residents like da tyrant Flip my lid pressurized flow like a hydrant so that makes me suited for the hose Live line on ladder 49, she's sliding down the pole And that should be the Headline, cuz thats something they know Keep the opposition's vision obsolete therefore thats OVO Triangulate my position from using spokeo Southern rapper but my influence was sent from Tokyo Hajmemashite to my foes with no intro just ikuzo You been Dismissed gone slit your let it trickle slow [Course] That shit cray I propose a a toast I been relentless on mt olympus With Sparta's Ghost ",Ni**as in Paris,36
11,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar"," [Chorus: 2 Chainz & Drake] I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem (I love bad bitches, that's my fuckin' problem) And yeah, I like to fuck, I got a fuckin' problem (And yeah, I like to fuck, I got a fuckin' problem) If findin' somebody real is your fuckin' problem Bring your girls to the crib, maybe we can solve it [Verse 1: A$AP Rocky] Hold up, bitches simmer down Takin' hella long, bitch, give it to me now Make that thing pop like a semi or a 9 Ooh, baby like it raw with the shimmy shimmy ya Huh, A$AP, get like me Never met a motherfucker fresh like me All these motherfuckers wanna dress like me Put the chrome to your dome, make you sweat like Keith ‘Cause I'm the nigga, the nigga nigga, like how you figure? Gettin' figures and fuckin' bitches She rollin' Swishers, brought her bitches I brought my niggas, they gettin' bent up off the liquor She love my licorice, I let her lick it They say money make a nigga act nigga-ish But least a nigga nigga rich I be fuckin' broads like I be fuckin' bored Turn a dyke bitch out, have her fuckin' boys; beast [Chorus: 2 Chainz & Drake] I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem (I love bad bitches, that's my fuckin' problem) And yeah, I like to fuck, I got a fuckin' problem (And yeah, I like to fuck, I got a fuckin' problem) If findin' somebody real is your fuckin' problem Bring your girls to the crib, maybe we can solve it [Verse 2: Drake] Ooh, I know you love it when this beat is on Make you think about all of the niggas you've been leadin' on Make me think about all of the rappers I've been feedin' on Got a feelin' that's the same dudes that we speakin' on Oh word? Ain't heard my album? Who you sleepin' on? You should print the lyrics out and have a fuckin' read-along Ain't a fuckin' sing-along 'less you brought the weed along Then ju… (Okay, I got it) Then just drop down and get yo' eagle on Or we can stare up at the stars and put the Beatles on All that shit you talkin' 'bout is not up for discussion I will pay to make it bigger, I don't pay for no reduction If it's comin' from a nigga I don't know, then I don't trust it If you comin' for my head, then motherfucker get to bustin' Yes, Lord, I don't really say this often But this long-dick nigga ain't for the long talkin'; I'm beast [Chorus: 2 Chainz & Drake] I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem (I love bad bitches, that's my fuckin' problem) And yeah, I like to fuck, I got a fuckin' problem (And yeah, I like to fuck, I got a fuckin' problem) If findin' somebody real is your fuckin' problem Bring your girls to the crib, maybe we can solve it [Verse 3: Kendrick Lamar] Uh, yeah, ho, this the finale My pep talk turn into a pep rally Say she from the hood, but she live inside in the valley, now Vaca'd in Atlanta, then she goin' back to Cali, mmm Got your girl on my line, world on my line The irony, I fuck 'em at the same damn time She eyein' me like a nigga don't exist Girl, I know you want this dick Girl, I'm Kendrick Lamar A.K.A. Benz is to me just a car That mean your friends-es need be up to par See, my standards are pampered by threesomes tomorrow Mmm, kill 'em all, dead bodies in the hallway Don't get involved, listen what the crystal ball say Halle Berry, hallelujah Holla back, I'll do ya; beast [Chorus: 2 Chainz & Drake] I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem And yeah, I like to fuck, I got a fuckin' problem I love bad bitches, that's my fuckin' problem (I love bad bitches, that's my fuckin' problem) And yeah, I like to fuck, I got a fuckin' problem (And yeah, I like to fuck, I got a fuckin' problem) If findin' somebody real is your fuckin' problem Bring your girls to the crib, maybe we can solve it [Produced by Noah ""40"" Shebib & Drake] ",F**kin Problems,36
12,J. Cole Featuring Miguel," [Produced by J. Cole] [Hook: J. Cole] Got me up all night, all I'm singin' is love songs She got me up all night, constant drinkin' and love songs She got me up all night, down-and-out with these love songs She got me up all night, drownin' out with these love songs She got me up all night, all I'm singin' is love songs She got me up all night, constant drinkin' and love songs She got me up all night, down-and-out with these love songs She got me open all night, got me open all night [Verse 1: J. Cole] Okay, back when I was sleeping in my mama crib Or even back when I was up there in Mohammed crib Paying seventeen-hundred for the rent, money well-spent No heater, but a nigga made heat, may I vent? Had a thing for ya, even wrote the song ""Dreams"" for ya ‘Cause I had dreams for ya, thoughts of a ring for ya Childish shit, you know child and shit Anonymous flowers sent, you know coward shit Now a nigga signed to Hov, took a power trip Back home I'm grown now, and the city's my throne now The same clubs that I used to get tossed out Life got Kriss Kross'd; totally crossed out ‘Cause now I'm in this bitch and I'm totally bossed out Old chicks crying ‘cause they know that they lost out But I'm still on you, I'm still on you My drink spill on me, while I fill on you, I'm sayin'... [Refrain: Miguel] Would you believe me if I said I'm in love? Baby, I want you to want me Would you believe me if I said I'm in love? Baby, I want you [Bridge: J. Cole] And we are, we are, we are Got me up all night And we are, we are, we are All I'm singin' is love songs And we are, we are, we are Got me up all night And we are, we are, we are (She got me) And we are, we are, we are (She got me) [Verse 2: J. Cole] Well, this has got to be the longest crush ever If I ever get to fuck it'd be the longest bust ever Love is a drug, like the strongest stuff ever And, fuck it, I'm on one, you feel me? She on a power trip, she got me where she want a nigga Wife'ing in the club, man, my homies gon' disown a nigga Like, ""Give me 20 dollars, dollars!"" Ass stupid, how you get to college, college? I'm in your city and I'm wonderin' if you're home now Went and found a man, but I'm hopin' you're alone now Can't help but feeling like I dropped the ball, cliche I used to pop up on you at the mall each day Now, typically I kick game, like East Bay But you got a nigga freeze-framed yelling: ""Please play!"" For Pete's sake, homie, pull it together! Just fuck her one time and be through with forever, but... [Refrain: Miguel] Would you believe me if I said I'm in love? Baby, I want you to want me Would you believe me if I said I'm in love? Baby, I want ya, yeah [Bridge: J. Cole] And we are, we are, we are Got me up all night And we are, we are, we are All I'm singin' is love songs And we are, we are, we are Got me up all night And we are, we are, we are (She got me) And we are, we are, we are (She got me) [Hook: J. Cole] Got me up all night, all I'm singin' is love songs She got me up all night, constant drinkin' and love songs She got me up all night, down-and-out with these love songs She got me up all night, drownin' out with these love songs She got me up all night, all I'm singin' is love songs She got me up all night, constant drinkin' and love songs She got me up all night, down-and-out with these love songs She got me open all night, got me open all night ",Power Trip,36
13,Fabolous," [Hook:] You what's up girl, ain't gotta ask it I dead em all now, I buy the caskets They should arrest you or whoever dressed you Ain't gon stress you, but ima let you know Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em [Verse 1:] You ain't gotta worry bout her, shorty straight Been chasing her for 2 days, first 48 A bad bitch cost, she worth every cent She look like the best money that I ever spent Just watching my cutiepie get beautified Make me want better jewels, a newer ride Louboutin shoes, she got too much pride Her feet are killing her, I call it shoe-icide Looking good has it's sacrifices Chilly weather bring four figure jacket prices Her body nice, face dime Give you that iPhone 4, face time Shorty in the streets, still handle the home Enough class for wine, still handle Patron When them other hoes call I hand her the phone And she hand em the tone [Hook] [You what's up girl, ain't gotta ask it] [I dead em all now, I buy the caskets] [They should arrest you or whoever dressed you] Ain't gon stress you, but ima let you know Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em [Verse 2:] Yeah I know that's what they all says She got a donkey with her, Juan Valdez Keep it clean cut like bald heads Been playin with that green long as Paul Pierce So you gotta ball harder than them ball players All she wanna know is there a mall near us Can't fault her, the last nigga spoiled her But he ain't beat it up, I assault her Shoulda seen her come to me when I called her Slow strut like she walking to the altar Hand bag on her arm cost four bills And she ain't gotta beg, borrow or steal Often imitated, never duplicated They say she a dime, I say she underrated I just met her so the next solution Dead my old chick, execution [Hook] [You what's up girl, ain't gotta ask it] [I dead em all now, I buy the caskets] [They should arrest you or whoever dressed you] Ain't gon stress you, but ima let you know Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em Girl you be killin em You be killin em Had to let you know All the ladies (to all the ladies) I'd like to congratulate you Congratulations And you just came from the gym clothes In a fitted cap and some Timbo's And a pair of flats, well trimmed toes Camera in the mirror, BBM Pose Still killin em hoes You still killin em hoes You still killin em hoes ",You Be Killin Em,35
14,Kanye West," [Produced by Kanye West; Co-Produced by Jeff Bhasker] [Intro: Choir] All of the lights, lights, all of the lights [Hook: Rihanna] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights [Post-Hook: Elly Jackson & Rihanna] Fast cars, shooting stars All of the lights, all of the lights Until it's Vegas everywhere we are (all of the lights) If you want it, you can get it for the rest of your life If you want it, you can get it for the rest of your life [Verse 1: Kanye West] Something wrong, I hold my head MJ gone, our nigga dead I slapped my girl, she called the feds I did that time and spent that bread I’m heading home, I’m almost there I’m on my way, heading up the stairs To my surprise, a nigga replacing me I had to take him to that ghetto university [Pre-Hook: Kanye West] (All of the lights) Cop lights, flashlights, spotlights Strobe lights, street lights (All of the lights, all of the lights) Fast life, drug life, thug life Rock life, every night (All of the lights) [Hook: Rihanna] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights [Verse 2: Kanye West] Restraining order, can’t see my daughter Her mother, brother, grandmother hate me in that order Public visitation, we met at Borders Told her she take me back, I’ll be more supportive I made mistakes, I bumped my head Courts sucked me dry, I spent that bread She need her daddy, baby please Can’t let her grow up in that ghetto university [Pre-Hook: Kanye West] (All of the lights) Cop lights, flashlights, spotlights Strobe lights, street lights (All of the lights, all of the lights) Fast life, drug life, thug life Rock life, every night (All of the lights) [Hook: Rihanna] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights [Bridge A: Kid Cudi] Getting mine, baby Got to let these niggas know, yeah Getting right, babe You should go and get your own Getting mine, baby Got to let these niggas know, yeah Getting right, babe You should go and get your own [Bridge B: Fergie, (Rihanna), & Drake] Unemployment line, credit card declined Did I not mention I was about to lose my mind? And also was about to do that line K, okay, you know we going all the way this time We going all the way this time We going all the way this time (We going all the way this time) We going all the way this time [Hook: Choir] Turn up the lights in here, baby Extra bright, I want y'all to see this Turn up the lights in here, baby You know what I need, want you to see everything Want you to see all of the lights [Outro: Alicia Keys & (Elton John)] Whoa, whoa (I tried to tell you but all I could say was ohh) Whoa, whoa (I tried to tell you but all I could say was ohh) Whoa, whoa (I tried to tell you but all I could say was ohh) Whoa, whoa (I tried to tell you but all I could say) ",All Of The Lights,34
15,Kendrick Lamar," [Produced by Sounwave] [Hook] I am a sinner who's probably gonna sin again Lord, forgive me! Lord, forgive me! Things I don't understand Sometimes I need to be alone Bitch, don't kill my vibe! Bitch, don't kill my vibe! I can feel your energy from two planets away I got my drink, I got my music I would share it, but today I'm yelling Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! [Verse 1] Look inside of my soul And you can find gold and maybe get rich Look inside of your soul and you can find out it never exist I can feel the changes I can feel a new life, I always knew life can be dangerous I can say that I like a challenge and you tell me it's painless You don't know what pain is How can I paint this picture When the color blind is hangin' with you? Fell on my face and awoke with a scar Another mistake livin' deep in my heart Wear it on top of my sleeve in a flick I can admit that it did look like yours Why you resent every making of this? Tell me your purpose is petty again But even a small lighter can burn a bridge Even a small lighter can burn a bridge [Bridge] I can feel the changes I can feel the new people around me just want to be famous You can see that my city found me Then put me on stages, to me that's amazin' To you that's a quick check With all disrespect, let me say this [Hook] I am a sinner who's probably gonna sin again Lord, forgive me! Lord, forgive me! Things I don't understand Sometimes I need to be alone Bitch, don't kill my vibe! Bitch, don't kill my vibe! I can feel your energy from two planets away I got my drink, I got my music I would share it, but today I'm yelling Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! [Verse 2] I'm tryin' to keep it alive And not compromise the feeling we love You're tryin' to keep it deprived And only co-sign what radio does And I'm lookin' right past you We live in a world, we live in a world on two different axles You live in a world, you livin' behind the mirror I know what you scared of The feeling of feeling emotions inferior This shit is vital, I know you had to This shit is vital, I know you had to To die in a pitiful vain, tell me a watch and a chain Is way more believable, give me a feasible gain Rather a seasonal name I'll let the people know this is somethin' you can blame On yourselves, you can remain stuck in a box I'ma break out and then hide every lock I'ma break out and then hide every lock [Bridge] I can feel the changes I can feel the new people around me just want to be famous You can see that my city found me Then put me on stages, to me that's amazin' To you that's a quick check With all disrespect, let me say this [Hook] I am a sinner who's probably gonna sin again Lord, forgive me! Lord, forgive me! Things I don't understand Sometimes I need to be alone Bitch, don't kill my vibe! Bitch, don't kill my vibe! I can feel your energy from two planets away I got my drink, I got my music I would share it, but today I'm yelling Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! [Outro] Bitch, don't kill my vibe! You ain't heard the Coast like this in a long time Don't you see that long line? And they waiting on Kendrick like the first and the fifteenth Threes in the air, I can see you are in sync Hide your feelings, hide your feelings Now what you better do I'll take your girlfriend and put that pussy on a pedestal Bitch, don't kill my vibe! Bitch, don't kill my vibe! Walk out the door and they scream it's alive My New Year's resolution is to stop all the pollution Talk too motherfuckin' much, I got my drink, I got my music I say bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! Bitch, don't kill my vibe! [Death to Molly] [Skit/Outro] Aye, K-Dot, get in the car, nigga! Come on, we finna roll out! Nigga, I got a pack of blacks and a beat CD Get yo' freestyles ready! ","Bitch, Don't Kill My Vibe",34
16,Desiigner," [Intro] This what they all been waitin' for I guess so They been waitin’ for this shit for a long time didn't they I'ma give it everythin’ I got Ayo Dougie park that X6 around the corner Ayy I'm just feelin' my vibe right now I'm feelin' myself [Bridge] Panda, Panda Panda, Panda, Panda, Panda, Panda [Hook] I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 look like a panda Goin' out like I’m Montana Hundred killas, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin’ bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me [Hook] I got broads in Atlanta Twistin’ dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 look like a panda Goin' out like I'm Montana Hundred killas, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin’ bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me [Bridge] Hey Panda, Panda Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda [Verse] I got broads in Atlanta Twistin' dope, lean, and shit, sippin' Fanta Credit cards and the scammers Wake up Versace shit, life Desiigner Whole bunch of lavish shit They be askin' 'round town who be clappin' shit I be pullin' up stuff in the Phantom ship I got plenty of stuff of Bugatti whip look how I drive this shit Black X6, Phantom White X6, killin' on camera Pop a Perc, I can't stand up Gorilla, they come and kill you with bananas Four fillas, they finna pull up in the Phantom Know niggas, they come and kill you on the camera Big Rollie, it dancin' bigger than a Pandie Go Oscar for Grammy, bitch pull up ya panty Fill up I'ma flip it, I got bitches pull up and they get it I got niggas that's countin' for digits Say you make you a lot of new money Know some killas pull off and they in the Wraith CTD, pull up in the killa Bape Call up Phillip-Phillip, gon' fill the bank Niggas up in the bank, we gon' drill the bank Fuck we gon' kill the bank, get it I got broads, yea I get it I get cards yea I shitted This how I live it Did it all for a ticket Now Flex drop bombs when he spin it And Bobby gon' trend it Jeff The Don doin' business Zana Ray fuckin' up shit and she doin' her business I be gettin' to the chicken Countin' to the chicken And all of my niggas gon' split it [Bridge] Panda, Panda Panda, Panda, Panda, Panda, Panda [Hook] I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 look like a panda Goin' out like I'm Montana Hundred killas, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me [Hook] I got broads in Atlanta Twistin' dope, lean, and the Fanta Credit cards and the scammers Hittin' off licks in the bando Black X6, Phantom White X6 look like a panda Goin' out like I’m Montana Hundred killas, hundred hammers Black X6, Phantom White X6, panda Pockets swole, Danny Sellin' bar, candy Man I'm the macho like Randy The choppa go Oscar for Grammy Bitch nigga pull up ya panty Hope you killas understand me [Outro] Panda, Panda Panda, Panda, Panda, Panda, Panda [Produced by Menace] ",Panda,34
17,Kendrick Lamar," [Produced by T-Minus] [Bridge] Pour up (Drank), head shot (Drank) Sit down (Drank), stand up (Drank) Pass out (Drank), wake up (Drank) Faded (Drank), faded (Drank) [Verse 1] Now I done grew up 'round some people livin' their life in bottles Granddaddy had the golden flask Backstroke every day in Chicago Some people like the way it feels Some people wanna kill their sorrows Some people wanna fit in with the popular, that was my problem I was in a dark room, loud tunes Lookin' to make a vow soon That I'ma get fucked up, fillin' up my cup I see the crowd mood Changin' by the minute and the record on repeat Took a sip, then another sip, then somebody said to me [Hook] Nigga, why you babysittin' only two or three shots? I'ma show you how to turn it up a notch First you get a swimming pool full of liquor, then you dive in it Pool full of liquor, then you dive in it I wave a few bottles, then I watch 'em all flock All the girls wanna play Baywatch I got a swimming pool full of liquor and they dive in it Pool full of liquor, I'ma dive in it [Bridge] Pour up (Drank), head shot (Drank) Sit down (Drank), stand up (Drank) Pass out (Drank), wake up (Drank) Faded (Drank), faded (Drank) [Verse 2: Kendrick & his conscience] Okay, now open your mind up and listen me, Kendrick I am your conscience If you do not hear me, then you will be history, Kendrick I know that you're nauseous right now And I'm hopin' to lead you to victory, Kendrick If I take another one down I'ma drown in some poison, abusin' my limit I think that I'm feelin' the vibe, I see the love in her eyes I see the feelin', the freedom is granted As soon as the damage of vodka arrived This how you capitalize, this is parental advice Then apparently I'm over-influenced by what you are doin' I thought I was doin' the most 'til someone said to me [Hook] Nigga, why you babysittin' only two or three shots? I'ma show you how to turn it up a notch First you get a swimming pool full of liquor, then you dive in it Pool full of liquor, then you dive in it I wave a few bottles, then I watch 'em all flock All the girls wanna play Baywatch I got a swimming pool full of liquor and they dive in it Pool full of liquor, I'ma dive in it [Bridge] Pour up (Drank), head shot (Drank) Sit down (Drank), stand up (Drank) Pass out (Drank), wake up (Drank) Faded (Drank), faded (Drank) [Break] I ride, you ride, bang One chopper, one hundred shots, bang Hop out, do you bang? Two chopper, two hundred shots, bang I ride, you ride, bang One chopper, one hundred shots, bang Hop out, do you bang? Two chopper, two hundred shots, bang [Hook] Nigga, why you babysittin' only two or three shots? I'ma show you how to turn it up a notch First you get a swimming pool full of liquor, then you dive in it Pool full of liquor, then you dive in it I wave a few bottles, then I watch 'em all flock All the girls wanna play Baywatch I got a swimming pool full of liquor and they dive in it Pool full of liquor, I'ma dive in it [Bridge] Pour up (Drank), head shot (Drank) Sit down (Drank), stand up (Drank) Pass out (Drank), wake up (Drank) Faded (Drank), faded (Drank) [Interlude: (Sherane)] Aw man… where is she takin' me? Where is she takin' me? [Verse 3] All I have in life is my new appetite for failure And I got hunger pain that grow insane Tell me, do that sound familiar? If it do, then you're like me Makin' excuse that your relief Is in the bottom of the bottle and the greenest indo leaf As the window open I release Everything that corrode inside of me I see you jokin', why you laugh? Don't you feel bad? I probably sleep And never ever wake up Never ever wake up, never ever wake up In God I trust, but just when I thought I had enough [Skit/Outro] They stomped the homie out over a bitch? K-dot, you good, blood? Now we can drop, ye we can drop you back off That nigga's straight, man, that nigga ain't trippin' We gon' do the same ol' shit I'ma pop a few shots, they gon' run, they gon' run opposite ways Fall right in ----'s lap And he gon' tear they ass up, simple as that And I hope that bitch that set him up out there We gon' pop that bitch too Wait hold up, ayy, I see somebody {Car door opens and gunshots are fired} Aha! Got them niggas, K-dot, you good? L----, you good? Yeah, blood, I'm good – Dave, you good? Dave? Dave, say somethin' – Dave? These bitch-ass niggas killed my brother! ",Swimming Pools (Drank),34
18,Iggy Azalea Featuring Charli XCX," [Verse 1: Iggy Azalea] First things first, I'm the realest (realest) Drop this and let the whole world feel it (let 'em feel it) And I'm still in the Murda Bizness I can hold you down, like I'm giving lessons in physics (right, right?) You should want a bad bitch like this (huh?) Drop it low and pick it up just like this (yeah) Cup of Ace, cup of Goose, cup of Cris High heels, something worth a half a ticket on my wrist (on my wrist) Taking all the liquor straight, never chase that (never) Rooftop like we bringing '88 back (what?) Bring the hooks in, where the bass at? Champagne spilling, you should taste that [Hook: Charli XCX] I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh [Verse 2: Iggy Azalea] I said baby, I do this, I thought that you knew this Can't stand no haters, and honest, the truth is And my flow retarded, each beat dear, departed Swagger on stupid, I can't shop at no department Better get my money on time, if they not money, decline And swear I meant that there so much that they give that line a rewind So get my money on time, if they not money, decline I just can't worry 'bout no haters, gotta stay on my grind Now tell me, who that, who that? That do that, do that? Put that paper over all, I thought you knew that, knew that I be that I-G-G-Y, put my name in bold I been working, I'm up in here with some change to throw [Hook: Charli XCX] I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh [Bridge: Charli XCX] Trash the hotel, let's get drunk on the minibar Make the phone call, feels so good getting what I want Yeah, keep on turning it up Chandelier swinging, we don't give a fuck Film star, yeah, I’m deluxe Classic, expensive, you don't get to touch, ow! [Verse 3: Iggy Azalea] Still stunting, how you love that? Got the whole world asking how I does that Hot girl, hands off, don't touch that Look at it, I bet you wishing you could clutch that That's just the way you like it, huh? It's so good, he's just wishing he could bite it, huh? Never turn down nothing Slayin' these hoes, gold trigger on the gun like [Hook: Charli XCX] I'm so fancy, you already know I'm in the fast lane, from L.A. to Tokyo I'm so fancy, can't you taste this gold? Remember my name, 'bout to blow-oh-oh-oh [Outro: Iggy Azalea & (Charli XCX)] Who that, who that? I-G-G-Y That do that, do that, I-G-G-Y Who that, who that? I-G-G-Y (Blow-oh-oh-oh) Who that, who that? I-G-G-Y That do that, do that, I-G-G-Y Who that, who that? I-G-G-Y (Blow-oh-oh-oh) ",Fancy,34
19,B.o.B Featuring Bruno Mars," [Chorus (Condensed): Bruno Mars & B.o.B] Beautiful girls All over the world I could be chasin' But my time would be wasted They got nothin' on you, baby (Yeah) Nothin' on you, baby Na na na nothin' on you, baby Na nothin' on you [Verse 1: B.o.B] I know you feel where I'm comin' from Regardless of the things in my past that I've done Most of it really was for the hell of the fun On the carousel, so around I spun With no directions, just tryna get some Tryna chase skirts, livin' in the summer sun And so I lost more than I had ever won And honestly, I ended up with none [Pre-Chorus 1: B.o.B] There's so much nonsense, it's on my conscience I'm thinkin' maybe I should get it out And I don't wanna sound redundant, but I was wonderin' If there was somethin' that you wanna know (That you wanna know) But never mind that, we should let it go (We should let it go) 'Cause we don't wanna be a TV episode (TV episode) And all the bad thoughts, just let 'em go (Go, go, go, go) [Chorus: Bruno Mars & B.o.B] Beautiful girls All over the world I could be chasin' But my time would be wasted They got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you They might say hi (Hi) And I might say hey (Hey) But you shouldn't worry About what they say (Why?) 'Cause they got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you [Verse 2: B.o.B] Hands down, there will never be another one I been around and I never seen another one Because your style they ain't really got nothin' on And you wild when you ain't got nothin' on Baby, you the whole package, plus you pay your taxes And you keep it real while them others stay plastic You're my Wonder Woman, call me Mr. Fantastic Stop, now think about it [Pre-Chorus 2: B.o.B] I've been to London (Yeah), I've been to Paris (Yeah) Even way out there to Tokyo (Tokyo) Back home down in Georgia (Yeah) to New Orleans (Yeah) But you always steal the show (Steal the show) And just like that girl you got me froze (Got me froze) Like a Nintendo 64 (64) If you never knew, well now you know (Know, know, know, know) [Chorus: Bruno Mars & B.o.B] Beautiful girls All over the world I could be chasin' But my time would be wasted They got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you They might say hi (Hi) And I might say hey (Hey) But you shouldn't worry About what they say (Why?) 'Cause they got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you [Bridge: B.o.B] Everywhere I go I'm always hearin' your name And no matter where I'm at Girl you make me wanna sing Whether a bus or a plane Or a car or a train No other girl's in my brain And you the one to blame [Chorus: Bruno Mars & B.o.B] Beautiful girls All over the world I could be chasin' But my time would be wasted They got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you They might say hi (Hi) And I might say hey (Hello) But you shouldn't worry About what they say (Why?) 'Cause they got nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you Nothin' on you, baby Na na na nothin' on you, baby, na nothin' on you [Outro: B.o.B] Yeah, and that's just how we do it Heheheh, and I'ma let this ride B.o.B and Bruno Mars ",Nothin' On You,34
20,Drake," [Intro] You used to call me on my You used to, you used to Yeah [Hook] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing [Verse 1] Ever since I left the city, you Got a reputation for yourself now Everybody knows and I feel left out Girl, you got me down, you got me stressed out ‘Cause ever since I left the city, you Started wearing less and goin' out more Glasses of champagne out on the dance floor Hangin' with some girls I never seen before [Hook] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing [Verse 2] Ever since I left the city, you, you, you You and me, we just don't get along You make me feel like I did you wrong Going places where you don't belong Ever since I left the city, you You got exactly what you asked for Running out of pages in your passport Hangin' with some girls I've never seen before [Hook] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing [Bridge] These days, all I do is Wonder if you're bendin' over backwards for someone else Wonder if you're rolling up a Backwoods for someone else Doing things I taught you, gettin' nasty for someone else You don't need no one else You don't need nobody else, no Why you never alone? Why you always touching road? Used to always stay at home Be a good girl, you was in the zone Yeah, you should just be yourself Right now, you're someone else [Hook] You used to call me on my cell phone Late night when you need my love Call me on my cell phone Late night when you need my love And I know when that hotline bling That can only mean one thing I know when that hotline bling That can only mean one thing [Outro] Ever since I left the city… [Produced by Nineteen85] ",Hotline Bling,33
